Record Length,2500,Points,-2.5000002E-3,0.0,,Record Length,2500,Points,-2.5000002E-3,0.0,
Sample Interval,2.0000000E-6,s,-2.4980002E-3,0.0,,Sample Interval,2.0000000E-6,s,-2.4980002E-3,0.0,
Trigger Point,1.2500002E3,Samples,-2.4960001E-3,0.0,,Trigger Point,1.2500002E3,Samples,-2.4960001E-3,0.0,
,,,-2.4940001E-3,0.0,,,,,-2.4940001E-3,0.0,
,,,-2.4920001E-3,0.0,,,,,-2.4920001E-3,0.0,
,,,-2.4900001E-3,0.0,,,,,-2.4900001E-3,0.0,
Source,CH1,,-2.4880001E-3,0.0,,Source,CH2,,-2.4880001E-3,0.0,
Vertical Units,Volts,,-2.4860001E-3,0.0,,Vertical Units,Volts,,-2.4860001E-3,0.0,
Vertical Scale,5.00000007,,-2.4840003E-3,0.0,,Vertical Scale,5.00000007,,-2.4840003E-3,0.0,
Vertical Offset,0,,-2.4820003E-3,0.0,,Vertical Offset,0,,-2.4820003E-3,0.0,
Horizontal Units,s,,-2.4800003E-3,0.0,,Horizontal Units,s,,-2.4800003E-3,0.0,
Horizontal Scale,499.999998738E-6,,-2.4780002E-3,-200.00000298E-3,,Horizontal Scale,499.999998738E-6,,-2.4780002E-3,0.0,
Pt Fmt,Y,,-2.4760002E-3,0.0,,Pt Fmt,Y,,-2.4760002E-3,0.0,
Yzero,1.0400000,,-2.4740002E-3,0.0,,Yzero,-840.000000000E-3,,-2.4740002E-3,0.0,
Probe Atten,10.0000000,,-2.4720002E-3,0.0,,Probe Atten,1.000000,,-2.4720002E-3,0.0,
,,,-2.4700002E-3,0.0,,,,,-2.4700002E-3,0.0,
Note,TDS 1002B - 9:55:10 AM   2/21/2024,,-2.4680002E-3,0.0,,Note,TDS 1002B - 9:55:10 AM   2/21/2024,,-2.4680002E-3,0.0,
,,,-2.4660002E-3,200.00000298E-3,,,,,-2.4660002E-3,0.0,
,,,-2.4640001E-3,0.0,,,,,-2.4640001E-3,0.0,
,,,-2.4620001E-3,-200.00000298E-3,,,,,-2.4620001E-3,0.0,
,,,-2.4600001E-3,0.0,,,,,-2.4600001E-3,0.0,
,,,-2.4580001E-3,0.0,,,,,-2.4580001E-3,0.0,
,,,-2.4560001E-3,-200.00000298E-3,,,,,-2.4560001E-3,0.0,
,,,-2.4540003E-3,200.00000298E-3,,,,,-2.4540003E-3,0.0,
,,,-2.4520003E-3,0.0,,,,,-2.4520003E-3,0.0,
,,,-2.4500003E-3,0.0,,,,,-2.4500003E-3,0.0,
,,,-2.4480002E-3,200.00000298E-3,,,,,-2.4480002E-3,0.0,
,,,-2.4460002E-3,0.0,,,,,-2.4460002E-3,0.0,
,,,-2.4440002E-3,0.0,,,,,-2.4440002E-3,0.0,
,,,-2.4420002E-3,0.0,,,,,-2.4420002E-3,0.0,
,,,-2.4400002E-3,-200.00000298E-3,,,,,-2.4400002E-3,0.0,
,,,-2.4380002E-3,0.0,,,,,-2.4380002E-3,0.0,
,,,-2.4360002E-3,0.0,,,,,-2.4360002E-3,0.0,
,,,-2.4340001E-3,-200.00000298E-3,,,,,-2.4340001E-3,0.0,
,,,-2.4320001E-3,0.0,,,,,-2.4320001E-3,0.0,
,,,-2.4300001E-3,200.00000298E-3,,,,,-2.4300001E-3,0.0,
,,,-2.4280001E-3,200.00000298E-3,,,,,-2.4280001E-3,0.0,
,,,-2.4260001E-3,0.0,,,,,-2.4260001E-3,0.0,
,,,-2.4240001E-3,0.0,,,,,-2.4240001E-3,0.0,
,,,-2.4220003E-3,0.0,,,,,-2.4220003E-3,0.0,
,,,-2.4200003E-3,0.0,,,,,-2.4200003E-3,0.0,
,,,-2.4180003E-3,-200.00000298E-3,,,,,-2.4180003E-3,0.0,
,,,-2.4160002E-3,200.00000298E-3,,,,,-2.4160002E-3,0.0,
,,,-2.4140002E-3,-200.00000298E-3,,,,,-2.4140002E-3,0.0,
,,,-2.4120002E-3,0.0,,,,,-2.4120002E-3,0.0,
,,,-2.4100002E-3,0.0,,,,,-2.4100002E-3,0.0,
,,,-2.4080002E-3,0.0,,,,,-2.4080002E-3,0.0,
,,,-2.4060002E-3,0.0,,,,,-2.4060002E-3,0.0,
,,,-2.4040001E-3,0.0,,,,,-2.4040001E-3,0.0,
,,,-2.4020001E-3,0.0,,,,,-2.4020001E-3,0.0,
,,,-2.4000001E-3,0.0,,,,,-2.4000001E-3,0.0,
,,,-2.3980001E-3,0.0,,,,,-2.3980001E-3,-200.00000298E-3,
,,,-2.3960001E-3,0.0,,,,,-2.3960001E-3,0.0,
,,,-2.3940001E-3,200.00000298E-3,,,,,-2.3940001E-3,0.0,
,,,-2.3920003E-3,200.00000298E-3,,,,,-2.3920003E-3,0.0,
,,,-2.3900003E-3,0.0,,,,,-2.3900003E-3,0.0,
,,,-2.3880003E-3,0.0,,,,,-2.3880003E-3,0.0,
,,,-2.3860002E-3,0.0,,,,,-2.3860002E-3,0.0,
,,,-2.3840002E-3,200.00000298E-3,,,,,-2.3840002E-3,0.0,
,,,-2.3820002E-3,-200.00000298E-3,,,,,-2.3820002E-3,0.0,
,,,-2.3800002E-3,0.0,,,,,-2.3800002E-3,0.0,
,,,-2.3780002E-3,0.0,,,,,-2.3780002E-3,0.0,
,,,-2.3760002E-3,0.0,,,,,-2.3760002E-3,0.0,
,,,-2.3740001E-3,0.0,,,,,-2.3740001E-3,0.0,
,,,-2.3720001E-3,0.0,,,,,-2.3720001E-3,0.0,
,,,-2.3700001E-3,0.0,,,,,-2.3700001E-3,-200.00000298E-3,
